id,rated,turns,victory_status,winner,increment_code,white_id,white_rating,black_id,black_rating,opening_name,Number of moves in the opening phase
zjPGfyjB,True,61,resign,white,10+0,tuntun,1905,lawrenman,1738,French Defense: Exchange Variation,5
wbq9uVrq,True,74,resign,white,10+0,lawrenman,1731,me0,1560,Queen's Gambit Refused: Marshall Defense,4
DfkAEil7,True,41,resign,white,10+0,lawrenman,1721,arielmendezp,1661,King's Indian Defense,6
eYv8E8Nl,True,101,resign,white,10+0,tuntun,1912,lawrenman,1713,French Defense: Knight Variation,3
wYLaqJg9,True,99,resign,white,10+0,abhijeet24,1898,lawrenman,1719,French Defense: Advance Variation |  Milner-Barry Gambit,11
jzMzRkaZ,True,50,resign,black,10+0,lawrenman,1724,wqf7,1958,Nimzo-Indian Defense: Normal Variation |  Gligoric System |  Bernstein Defense,14
9ONcfqDD,True,44,resign,black,10+0,acrux,1599,lawrenman,1716,Horwitz Defense,2
Fr3u2Rka,True,59,outoftime,white,10+0,lawrenman,1707,nuc21nuc,1586,Indian Game: Normal Variation,3
ILiTP0Kh,True,72,resign,black,10+0,lawrenman,1725,runkandtoned,1457,Benoni Defense,4
8AZYFysE,True,97,draw,draw,10+0,lawrenman,1717,morphyagain,1985,Indian Game: West Indian Defense,4
3GeVrkeA,True,37,resign,white,10+0,newton65,1757,lawrenman,1728,Queen's Gambit Declined,4
9d7BUXAN,True,95,outoftime,white,10+0,lawrenman,1724,putinchileno,1438,Queen's Gambit Declined,4
UDubz9aR,True,50,resign,black,10+0,lawrenman,1728,honzarusnak,2027,English Defense,4
zNYEOUt0,True,49,resign,white,10+0,eltucutuco,1841,lawrenman,1737,French Defense: Rubinstein Variation |  Blackburne Defense,8
W6DYWibB,True,40,mate,black,10+0,lawrenman,1748,black_slonik,1764,Queen's Gambit Refused: Albin Countergambit |  Normal Line,7
OjP6AMDc,True,73,mate,white,10+0,x-karpov,1321,lawrenman,1771,French Defense: Two Knights Variation,5
tJ85BHjA,True,39,mate,white,10+0,lawrenman,1770,eltrist22,1249,Queen's Gambit Accepted: Old Variation,5
QYa86ijK,True,60,mate,black,10+0,x-karpov,1334,lawrenman,1768,French Defense: Advance Variation |  Nimzowitsch System,7
EIO5zREu,True,108,mate,black,10+0,kostya37,1426,lawrenman,1764,French Defense: Knight Variation,3
